identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,pictogrammes_libelleCategorie,nro_paginas,page,images_3,images_4,images_5,pictogrammes_0
4940,5449000008435,4000.0,Coca-Cola,Refrigerante c/ gás zero,pack 4 x 1 l,4.29,1.07,4000,L,€/L,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/33F2C9EB56024D40DAD7EC1E9D0325EB.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0582A66476893C4C2DEFB301BE67AA7.jpg,,,17,1,,,,
927,5601001180903,380.0,Nestlé,Cereais chocapic,Embalagem de 375 g,2.29,6.03,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6DE0110672BED70DCD1FFE94A66DEB48.jpg,,,1000 Artigos,17,1,,,,
9292,5603722493812,250.0,Matinal,Manteiga Magra,Embalagem de 250g,2.29,9.16,0,kg,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0EFE8F0BAC9D546B0137E2AAE6CB19F.jpg,,,,17,1,,,,
12889,2892175000000,150.0,Fruta,Kiwi categoria II,1 un = 150 gr (aprox.),0.49,3.29,0,,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8ECB4A8CBEF9251912188D64C7413AB3.jpg,,,,17,1,,,,
17272,2891375000000,800.0,Novilho,Carne p/ Estufar,Vendido ao peso a partir de 800 g,6.79,8.49,0,,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/74A9E71258207F3FD300DB35B0F5BB18.jpg,,,,17,1,,,,
18298,5604260278459,640.0,PorSi,"Iogurte líquido morango,  4 x 160 g",,1.38,2.16,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B284E13E8C95C5E0A5B9E9B9B54FC18.jpg,,,1000 Artigos,17,1,,,,
18842,5601070000508,500.0,Cristal,Vinagre vinho branco 500ml,Garrafa de 500 ml,1.03,2.06,500,L,€/L,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B1BDF2A3E3E9679D43CD22EA6D9C158.jpg,,,,17,1,,,,
19447,5604260278473,640.0,PorSi,"Iogurte líquido de frutos vermelhos,  4 x 160 g",,1.38,2.16,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/891F6EF8D7281D5B469468F4C3F4A246.jpg,,,1000 Artigos,17,1,,,,
2074,5604260193554,1000.0,PorSi,Néctar pera,Embalagem de 1 l,0.96,0.96,1000,L,€/L,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EC5D7235941CEBB11AB8301EBCF4E95C.jpg,,,,17,1,,,,
28608,5604260282821,160.0,PorSi,"Iogurte Líquido Frutos Tropicais, 4 x 160g",,1.38,8.63,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB7AD688B381BBBCE16BBE5DF0C318EE.jpg,,,1000 Artigos,17,1,,,,
30168,2696660000000,80.0,Padaria,Cacetinho de Trigo,80 g,0.2,2.5,0,kg,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/061A32F66C5467484869F7F4ECEA0767.jpg,,,,17,1,,,,
405,8712566410910,280.0,Calvé,Ketchup,Embalagem de 280g,1.86,6.64,0,kg,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D7E099A6ABAECF4C5D06260734A2C975.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,,17,1,,,,
40750,5604260304165,1000.0,PorSi,Detergente liquido loiça limão,Garrafa de 1 litro,0.89,0.89,1000,L,€/L,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/133A79C299237D7021118245D0D00D2E.jpg,,,1000 Artigos,17,1,,,,
41716,5604260303809,90.0,PorSi,Saqueta de puré de fruta | maçã + pêssego + banana + pera,90 g,0.74,8.22,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BA821088BC22D810D2198777A3EC5FCD.jpg,,,1000 Artigos,17,1,,,,
9279,5603533652002,1000.0,Frize,Água c/ gás limão,pack 4 x 0.25 l,1.99,1.99,1000,L,€/L,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5168323A2D812BEF907FCB0E5F1CDA9E.jpg,,,1000 Artigos,17,1,,,,
1010,5601038300091,240.0,Knorr,Caldo de galinha 24 cubos,Embalagem de 240g,2.49,10.38,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4EAB67797AD4AB1D62B7E64BA0380D8B.jpg,,,1000 Artigos,17,1,,,,
1108,5601066300087,500.0,Nacional,Massa de cotovelinhos,Embalagem de 500g,0.99,1.98,0,kg,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3C947C343F18C9B0CC5D66D04FA630B6.jpg,,,,17,1,,,,
11524,5601051420028,250.0,Primor,Manteiga sem sal,Embalagem de 250g,1.99,7.96,0,kg,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2FFA6A89B700950590104B0F7BA500E.jpg,,,,17,1,,,,
11641,5601180001020,1000.0,Vigor,Leite pasteurizado meio gordo,Garrafa de 1 l,0.98,0.98,1000,L,€/L,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/27E81D9C59177D8FE66A1E22F472A238.jpg,,,1000 Artigos,17,1,,,,
1293,5601151398104,630.0,Compal,Pack de 3 embalagens de polpa de tomate,Embalagem de 630g,1.49,2.37,0,kg,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2F7BD591A6A78BA4615EC03A19AC4973.jpg,,,,17,1,,,,
12946,2892155000000,250.0,Fruta,Ameixa Vermelha,1 un = 250 gr  (aprox.),0.55,2.19,0,,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1F3553DA3EF8F6B165B1563A2EC408C3.jpg,,,,17,1,,,,
15577,5604260279166,125.0,PorSi,Framboesa,Embalagem com 125g,1.39,11.12,0,kg,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/498DD3B7B51C2A37F7C64567752911E7.jpg,,,,17,1,,,,
18295,5604260278411,640.0,PorSi,"Iogurte líquido morango/cereais,  4 x 160 g",,1.38,2.16,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E44EF7A495B5D88032D3F10A44D3886E.jpg,,,1000 Artigos,17,1,,,,
18489,5600744051020,198.0,Saborosa,Bolacha de manteiga belga c/ chocolate,Embalagem de 200g,1.64,8.28,0,kg,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EC85EF320199ECBED8BA18BD4452787A.jpg,,,,17,1,,,,
19539,7613035610156,250.0,Sical,Café 5 estrelas moído tradição,Embalagem de 250g,2.79,11.16,0,kg,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/05F298B6158A264F26FCA1105F30811A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2888C77DDA1DB5E5E1FA7EF4EE8D9964.jpg,,,17,1,,,,
2079,5604260193646,1000.0,PorSi,"Néctar ananás, prisma",Garrafa de 1 l,0.96,0.96,1000,L,€/L,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/10E9329F83000135085CDE8D45A5A26A.jpg,,,,17,1,,,,
26091,7613036115575,550.0,Nestlé,Cereais estrelitas,Embalagem de 550g,2.99,5.44,0,kg,€/Kg,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C94C2BEBB47FF1CA98FCF1DC9BAD855D.jpg,,,,17,1,,,,
35297,5601314223205,500.0,Vitalis,Água sem gás,Garrafa de 0.5 l,0.3,0.6,500,L,€/L,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/341D6A72BBB8AB6BB829B689761B2A68.jpg,,,,17,1,,,,
