identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page
32408,5601050034967,600.0,Danone,"Danacol aveia, embalagem de 6 x 100g",,2.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5CE656F263120C59B9C0953B21D516B7.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
43520,8411300478116,400.0,Elvive,Champô argila cabelos normais,Embalagem com 400ml,3.99,9.98,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/638A557615C1C43E87F50B5AF3FB796E.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
2466,7613032142599,500.0,Cerelac,Farinha láctea 12 meses,Embalagem de 500g,4.79,9.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E708CAF1A60A052407E76B7A92102F7.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
16983,8712100735455,540.0,Olá,"Gelado cornetto morango, embalagem de 6 x 90 ml",,3.29,6.09,540,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F864C0CC873250BC9D1DC90A794E1882.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF03523E6B925BE3441B0A34A996CA2B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF03523E6B925BE3441B0A34A996CA2B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF03523E6B925BE3441B0A34A996CA2B.jpg,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
32326,8002205352009,2000.0,Friskies,Ração para gato adulto com salmão e legumes,Embalagem de 2 kg,6.74,3.37,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7BB16DEB21172930AE30D98EA700F916.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C2E126B9E5B84C243F0668DEC3869F.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
9113,5601989001566,750.0,Monte Velho,"Vinho branco alentejo, garrafa de 750 ml",,3.49,4.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7B25882D8E40FB5175386823B109A8BD.jpg,,,,2025-03-02T23:59:59.999999999Z,AC,25.0,PCT,STANDARD,2025-02-27T00:00:00Z,99.0,0.8725,13,1
36727,5604260294404,1000.0,PorSi,Arroz basmati,Embalagem de 1 kg,1.99,1.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4276C26236BCA3B8F3F002AEBC9361B0.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
15161,5604260274246,1000.0,PorSi,Cenouras Programa Origens,Embalagem de 1 kg,0.89,0.89,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/558C3AC1450C10C8B2395D06441C5423.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.89,0.89,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
12909,2892005000000,250.0,Fruta,Laranja Económica,1 un = 250 gr  (aprox.),0.24,0.95,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/67E13FD34B36BCD37E12339EB836171D.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
13781,2892323000000,250.0,Fruta,Uva Red Globe,1 un = 250 gr  (aprox.),0.87,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0CB9D5C0FE47F5D642EA2D42574AAC35.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
34877,5604260285464,1500.0,PorSi,Maçã royal gala categoria II Programa Origens,Embalagem de 1.5 kg,1.89,1.26,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F091E3663EBAE6E7A8981702DFBCC609.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
35489,5604260285266,1000.0,PorSi Viva Bem,Leite uht sem lactose meio gordo,1 litro,1.05,1.05,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C75C157CAE99A5A835DA383E6173404B.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
46714,5604260318742,,PorSi,Papel higiénico branco folha tripla,12 rolos,3.79,3.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/302F6B4FE48393BA7E5D666ED55E249B.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
12889,2892175000000,150.0,Fruta,Kiwi categoria II,1 un = 150 gr (aprox.),0.45,2.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/39D74C337E358C98856B0EB2FC79D7A8.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
13813,2892489000000,250.0,Legumes,Batata Doce,1 un = 250 gr  (aprox.),0.35,1.39,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0785A3D8A1A6773EB1FB43B119AC4D9.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
13893,2891043000000,1000.0,Porco,Entrecosto,Vendido ao peso a partir de 1 kg,4.89,4.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA05EE99D302D59771FCC108473E0700.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
13947,2891125000000,150.0,Peru,Espetadas de Peru,1 un = 150 gr (aprox.),0.97,6.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7051DD49B64096A6B46E7815DD618A85.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
35490,5604260285273,1000.0,PorSi Viva Bem,Leite uht sem lactose magro,1 litro,1.05,1.05,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C0D8FEA6733802713556DC723A8C1BA7.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
7039,2894063000000,150.0,PorSi,Fiambre da Pá,1 un = 150 gr (aprox.),1.2,7.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B263AAD24D8655825D397EE88CE54C25.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
9727,5604260273058,200.0,PorSi,Queijo mozzarella ralado,Embalagem de 200 g,1.64,8.2,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D767CFC30304ACED37F1FA78A6E123BE.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
12887,2892089000000,500.0,Fruta,Manga Barco,1 un = 500 gr (aprox.),1.1,2.19,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DE73DFAB226CDE947BB89C61333D3FE.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
14038,2696013000000,80.0,Padaria,Bola mistura,1 unidade= 80 g,0.19,2.38,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/509539D5119FE663643D444B9A3F9D6A.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
1414,5601252106639,750.0,Gallo,"Azeite virgem delicado, garrafa de 750 ml",,5.99,7.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA9D73D4CD22667C67FAED0003FD80DC.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
14846,2892473000000,300.0,Programa Origens,Alho Francês,1 un = 300 g (aprox.),0.54,1.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DCEB607FB65F8FDDE5C5FE9663BDB061.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
15125,2895006000000,150.0,Terra Nostra,Queijo Flamengo em Barra,1 un = 150 gr (aprox.),1.39,9.29,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BF84618CA37316EE2612494B15F423CC.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
29613,5604260283538,1000.0,PorSi Viva Bem,Bebida de Aveia,1 l,0.99,0.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1EE40BC1DA49C5CE3D084214B1D3D3B9.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
39305,5601195640122,1000.0,Pedras Salgadas,"Pedras maracujá, pack 4 x 25 cl",,1.99,1.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4530A5F4C57E573DC822AE65FB3AE7F0.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
40593,5603722519406,480.0,Mimosa,"Iogurte fruta batida morango, 4 x 120 g",,1.69,3.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/41C5135F0F8227064BFED500C982147E.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
42785,5604260310074,250.0,PorSi Select,Queijo manchego D.O.P,Embalagem de 250g,4.99,19.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B883B24D8849BAD51A50E353865A0840.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
43335,5604260309023,150.0,PorSi Select,Presunto 12 meses fatiado,Embalagem de 150g,3.69,24.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/13A8C5BB3E295978FBA7F7AF1315C7F7.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
46715,5604260318759,,PorSi,Papel higiénico branco folha quadrupla,12 rolos,5.03,5.03,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/71B84E02290AD35D82ACC6CF2D01690A.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
10823,2895063000000,250.0,Castelões,Queijo Curado kg,1 un = 250 gr  (aprox.),2.5,9.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/75B6363D9B6BD363EA11623977BF1CB2.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
10842,2895207000000,250.0,Santiago,Queijo 3 Igrejas Cura 2m Pimentão,Vendido ao peso a partir de 250 gr,3.0,11.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2F11F4EC63EB49EF2522FB61028743A0.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
11463,5601018001642,250.0,Gresso,"Manteiga com sal, embalagem de 250g",,2.09,8.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3A5F1036925C0C6B8D6C067104A96CDE.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7AC5179CFF33BEA38B382077FB05A477.jpg,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
11466,5601018004605,200.0,Gresso,Nata uht para bater 200 ml,,0.84,4.2,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6D55411BE639B830632A68D20D002036.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
1189,5601119007987,250.0,Nobre,"Salsichas de porco, lata de 250g",,1.67,6.68,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0B023C2ECBDBE7AB09A89A8810925D65.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
11894,5602527028335,130.0,Palhais,"Queijo de cabra com azeite e oregãos, 130 g",,2.99,23.0,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8CEA4708DABC083A4827327E27C8BFB3.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
11961,5603722505607,1000.0,Mimosa,"Leite sem lactose meio gordo, de 1l",,1.14,1.14,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A98ED8A0E5E675A3AC1A551BCE75B0AB.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E57BFE09E8D859BDBE1705476BB9F1B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1F70144AAFCC0EAEBFF05614177D009.jpg,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
1228,5601146230518,1500.0,Joi,"Refrigerante sem gás, laranja, garrafa de 1,5 l",,1.29,0.86,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CFD5D319CF23E8EEE61B6DFE693387D.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
1230,5601146232512,1500.0,Joi,"Refrigerante sem gás, maracujá e la, garrafa de 1,5 l",,1.29,0.86,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/430468AF369DBE1139E298A0EA69B620.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
12892,2892508000000,400.0,Legumes,Beringela,1 un=400 gr (aprox.),1.2,2.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5B7B3A896213DE67893050A67A6D9D9B.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
1293,5601151398104,630.0,Compal,"Pack de 3 embalagens de polpa de tomate, embalagem de 630g",,1.49,2.37,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BC7D38B0892D2B72B99AEECF05E81523.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
13216,2893201000000,250.0,PorSi,Perca à Posta,1 un = 250g (aprox.),2.5,9.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/934FDB901CE812CCE046B5BFBFCA0ECC.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
13242,2893227000000,200.0,Peixaria,Robalo de Viveiro,de 200 a 600 g (aprox.),1.4,6.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A78EB4330416D93C926049780B1174CB.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
13950,2891145000000,100.0,Porco,Salsicha Fresca,1 un = 100 gr (aprox.),0.5,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2E1CED7EDF010F56C2BF0E6CDF74D52B.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
13966,2696019000000,450.0,Padaria,Pão Regional Rio Maior Inteiro,1 unidade= 450 g,1.09,2.42,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/868CC38F01B8F1FD056036A7F49504A8.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
13977,2696106000000,,Pastelaria,Folhado de Maçã,1 unidade= 100 g,0.89,0.89,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C92497D9C6A75CD832651E848AF344C3.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
15045,2892280000000,130.0,Fruta,Pera Rocha,1 un = 130 gr (aprox.),0.23,1.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/13A95EAD49FBD7525A80301784BFDD22.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
15359,5604260273317,600.0,PorSi,Néctar de manga,Pack 3 x 200 ml,1.0,1.67,600,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CB03714D6CC31A127821020EE8F1C331.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
15725,5604260273300,600.0,PorSi,Néctar de pera,Pack 3 x 200 ml,0.8,1.33,600,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42A4AC67DF25A44A932E75287105383F.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
17402,8412600027233,700.0,Bimbo,Pão forma familiar normal,embalagem de 700 g,1.99,2.84,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BD26753EF23D0DF0FDC14FCDC181B902.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
18325,5601008100119,200.0,Vieira,"Bolacha cream cracker, embalagem de 200g",,0.99,4.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8B50B80FABB9C6F7EC6C88214E09B189.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
21292,5604260263837,250.0,PorSi,Alho Seco,Embalagem: 250 g  ,1.39,5.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CACD04AEB53BB065A4A6DA5A64A1473.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
25883,5449000008763,1500.0,Fanta,"Refrigerante com gás laranja, garrafa de 1,5 l",,0.99,0.66,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FC51AAD13F2C3DD9969EDD9F1221FFFF.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
31141,3073781094930,140.0,A Vaca Que Ri,"Queijo fundido palitos light 140g, embalagem de 140g",,1.99,14.21,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B5D6C4ED5C97B9ABEEF5182E77489B3B.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
35499,5601151973769,3500.0,Sumol,"Refrigerante com gás de laranja, 2 x 1.75 l",,2.98,0.85,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/15C97042A71F49C362C4C213EA28900F.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
37603,5601244700005,250.0,Terra Nostra,"Manteiga sem sal terra nostra, embalagem de 250g",,2.19,8.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/825AD5ABA4663129CA24B0F2114DECAD.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
41439,5604260305803,70.0,PorSi Select,"Paio do lombo de porco preto, 70 g",,4.49,64.14,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FC4D8B8993BE3FCCF3CEE9D4E3E7FC70.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
46788,5604260319596,,PorSi,Papel higiénico acolchoado folha tripla,Embalagem de 9 rolos,4.59,4.59,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/57B1963333803CB13989FA0FC627B14F.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
48146,5604260321247,200.0,PorSi,Presunto serrano 9 meses,Embalagem de 200g,3.49,17.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E90673337D5C01B580C68FB0F4081802.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
49463,8445290250322,600.0,Nestum,Flocos Cereais Mel,Embalagem de 600g,3.79,6.32,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4A0A62606AC144021ED115E1FAB3D0CE.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
52880,8719200267794,450.0,Becel,"Creme vegetal de barrar com sabor a manteiga, 450g",,3.56,7.91,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E2EFE8BE5E96AF9FCA9D840059BF696C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/287D301C66C180312FAA8A3BAE7EA710.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/287D301C66C180312FAA8A3BAE7EA710.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/287D301C66C180312FAA8A3BAE7EA710.jpg,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
6059,5608527000524,750.0,Dom Campos,Vinho branco reg. p.set. 0.75l,Garrafa 0.75L,1.99,2.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6CFEBAE3F7C01E0EE0EAB2B82395D3EA.jpg,,,,2025-03-02T23:59:59.999999999Z,AC,25.0,PCT,STANDARD,2025-02-27T00:00:00Z,99.0,0.4975,13,1
