identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page
1414,5601252106639,750.0,Gallo,"Azeite virgem delicado, garrafa de 750 ml",,5.99,7.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA9D73D4CD22667C67FAED0003FD80DC.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13523,2893515000000,250.0,Peixaria,Lula Congelada,1 un= 250 gr (aprox.),1.25,4.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2B7BBDC4CDC3C912C9CD2FEC6D3B682.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
2466,7613032142599,500.0,Cerelac,Farinha láctea 12 meses,Embalagem de 500g,4.79,9.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E708CAF1A60A052407E76B7A92102F7.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
4947,5449000054227,1000.0,Coca-Cola,"Refrigerante com Gás Cola, 1L",,1.35,1.35,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3281D4D34500D6DBD7784B7DAA420E55.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C2E126B9E5B84C243F0668DEC3869F.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13599,2893594000000,500.0,Peixaria,Red Fish Grande Congelado,1 un = 500 gr (aprox.),2.5,4.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3E98972B338DCF46BAA412A17BB9B0C.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
50406,8445290490155,600.0,Cerelac,"Papa Infantil para Preparar com Leite +6M, 600g",,4.29,7.15,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C95864141AF0280BDB80A795593394EA.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
35301,8001090766885,,Evax,Pensos diários salvaslip flexi & fresh normal,28 unidades,1.49,1.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4746D822A5BCD6895EE9D55D697B5D57.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
30414,4015400917304,480.0,Fairy,Detergente Liquido Loiça Original,480 ml,2.54,5.29,480,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BDA62A6B9333A70897E09AEAD0B62BBF.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
9113,5601989001566,750.0,Monte Velho,"Vinho branco alentejo, garrafa de 750 ml",,3.49,4.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7B25882D8E40FB5175386823B109A8BD.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
477,3010470159051,2000.0,Friskies,"Ração para gato adulto com coelho, frango e legumes",Embalagem de 2kg,6.74,3.37,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DEEDCA72B128992156D55C0C8DE0876.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
15161,5604260274246,1000.0,PorSi,Cenouras Programa Origens,Embalagem de 1 kg,0.89,0.89,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/558C3AC1450C10C8B2395D06441C5423.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
36727,5604260294404,1000.0,PorSi,Arroz basmati,Embalagem de 1 kg,1.99,1.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4276C26236BCA3B8F3F002AEBC9361B0.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
7039,2894063000000,150.0,PorSi,Fiambre da Pá,1 un = 150 gr (aprox.),1.2,7.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B263AAD24D8655825D397EE88CE54C25.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
12909,2892005000000,250.0,Fruta,Laranja Económica,1 un = 250 gr  (aprox.),0.24,0.95,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/67E13FD34B36BCD37E12339EB836171D.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13781,2892323000000,250.0,Fruta,Uva Red Globe,1 un = 250 gr  (aprox.),0.87,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0CB9D5C0FE47F5D642EA2D42574AAC35.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13947,2891125000000,150.0,Peru,Espetadas de Peru,1 un = 150 gr (aprox.),0.97,6.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7051DD49B64096A6B46E7815DD618A85.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
46714,5604260318742,,PorSi,Papel higiénico branco folha tripla,12 rolos,3.79,3.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/302F6B4FE48393BA7E5D666ED55E249B.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
35489,5604260285266,1000.0,PorSi Viva Bem,Leite uht sem lactose meio gordo,1 litro,1.05,1.05,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C75C157CAE99A5A835DA383E6173404B.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
46715,5604260318759,,PorSi,Papel higiénico branco folha quadrupla,12 rolos,5.03,5.03,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/71B84E02290AD35D82ACC6CF2D01690A.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
9727,5604260273058,200.0,PorSi,Queijo mozzarella ralado,Embalagem de 200 g,1.64,8.2,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D767CFC30304ACED37F1FA78A6E123BE.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
12887,2892089000000,500.0,Fruta,Manga Barco,1 un = 500 gr (aprox.),1.1,2.19,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DE73DFAB226CDE947BB89C61333D3FE.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
12889,2892175000000,150.0,Fruta,Kiwi categoria II,1 un = 150 gr (aprox.),0.43,2.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/39D74C337E358C98856B0EB2FC79D7A8.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13813,2892489000000,250.0,Legumes,Batata Doce,1 un = 250 gr  (aprox.),0.35,1.39,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0785A3D8A1A6773EB1FB43B119AC4D9.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
34877,5604260285464,1500.0,PorSi,Maçã royal gala categoria II Programa Origens,Embalagem de 1.5 kg,1.89,1.26,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F091E3663EBAE6E7A8981702DFBCC609.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
11463,5601018001642,250.0,Gresso,"Manteiga com sal, embalagem de 250g",,2.09,8.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3A5F1036925C0C6B8D6C067104A96CDE.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7AC5179CFF33BEA38B382077FB05A477.jpg,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
1188,5601119007970,200.0,Nobre,"Salsichas de porco, lata de 200g",,1.39,6.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F480FC52D56464F3C1B867155F4A37B9.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
12892,2892508000000,400.0,Legumes,Beringela,1 un=400 gr (aprox.),1.2,2.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5B7B3A896213DE67893050A67A6D9D9B.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13242,2893227000000,200.0,Peixaria,Robalo de Viveiro,de 200 a 600 g (aprox.),1.4,6.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A78EB4330416D93C926049780B1174CB.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13892,2891041000000,1000.0,Porco,Costeletas do Lombo,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/589E4AFE71E19AF7FEB32FB0C0E176FF.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13893,2891043000000,1000.0,Porco,Entrecosto,Vendido ao peso a partir de 1 kg,4.89,4.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA05EE99D302D59771FCC108473E0700.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13950,2891145000000,100.0,Porco,Salsicha Fresca,1 un = 100 gr (aprox.),0.5,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2E1CED7EDF010F56C2BF0E6CDF74D52B.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
18325,5601008100119,200.0,Vieira,"Bolacha cream cracker, embalagem de 200g",,0.99,4.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8B50B80FABB9C6F7EC6C88214E09B189.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
21292,5604260263837,250.0,PorSi,Alho Seco,Embalagem: 250 g  ,1.39,5.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CACD04AEB53BB065A4A6DA5A64A1473.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
2314,5604260271856,355.0,PorSi,Cogumelos inteiros,Embalagem de 355 g,1.29,3.63,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/01F5BA204144BDCBC76F253B25332909.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
35499,5601151973769,3500.0,Sumol,"Refrigerante com gás de laranja, 2 x 1.75 l",,2.98,0.85,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/15C97042A71F49C362C4C213EA28900F.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
40593,5603722519406,480.0,Mimosa,"Iogurte fruta batida morango, 4 x 120 g",,1.69,3.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/41C5135F0F8227064BFED500C982147E.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
42785,5604260310074,250.0,PorSi Select,Queijo manchego D.O.P,Embalagem de 250g,4.99,19.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B883B24D8849BAD51A50E353865A0840.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
48146,5604260321247,200.0,PorSi,Presunto serrano 9 meses,Embalagem de 200g,3.49,17.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E90673337D5C01B580C68FB0F4081802.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
49463,8445290250322,600.0,Nestum,Flocos Cereais Mel,Embalagem de 600g,3.79,6.32,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4A0A62606AC144021ED115E1FAB3D0CE.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
9315,5603722509544,1000.0,Mimosa,"Leite 0% lactose magro, de 1l",,1.14,1.14,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0350D0DE44A653A9AB01722B06443E94.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC5219EC1E15E09529E323B7D196FADA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC48BFFA4281D8016E9FB40168ED4485.jpg,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
1010,5601038300091,240.0,Knorr,"Caldo de galinha 24 cubos, embalagem de 240g",,2.49,10.38,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E25834255892D5C9C1047A286FE9847.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
10842,2895207000000,250.0,Santiago,Queijo 3 Igrejas Cura 2m Pimentão,Vendido ao peso a partir de 250 gr,3.0,11.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2F11F4EC63EB49EF2522FB61028743A0.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
10901,3228022000298,250.0,President,"Manteiga magra baixo teor sal, embalagem de 250g",,2.59,10.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DCFDE09AD10D5DD4255ED225FA75C5F7.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
11466,5601018004605,200.0,Gresso,Nata uht para bater 200 ml,,0.84,4.2,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6D55411BE639B830632A68D20D002036.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
1228,5601146230518,1500.0,Joi,"Refrigerante sem gás, laranja, garrafa de 1,5 l",,1.29,0.86,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CFD5D319CF23E8EEE61B6DFE693387D.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
1230,5601146232512,1500.0,Joi,"Refrigerante sem gás, maracujá e la, garrafa de 1,5 l",,1.29,0.86,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/430468AF369DBE1139E298A0EA69B620.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13216,2893201000000,250.0,PorSi,Perca à Posta,1 un = 250g (aprox.),2.5,9.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/934FDB901CE812CCE046B5BFBFCA0ECC.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13814,2892558000000,250.0,Legumes,Feijão Verde,1 un = 250 gr  (aprox.),0.9,3.59,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5688B97D5E073F1C8E51E2F8542D9EC1.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
13977,2696106000000,,Pastelaria,Folhado de Maçã,1 unidade= 100 g,0.89,0.89,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C92497D9C6A75CD832651E848AF344C3.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
14038,2696013000000,80.0,Padaria,Bola mistura,1 unidade= 80 g,0.19,2.38,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/509539D5119FE663643D444B9A3F9D6A.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
14372,8712100599392,550.0,Calvé,"Ketchup top down, embalagem de 550g",,2.59,4.71,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6D3218F33B22BC3205033BC41E176600.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
15045,2892280000000,130.0,Fruta,Pera Rocha,1 un = 130 gr (aprox.),0.23,1.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/13A95EAD49FBD7525A80301784BFDD22.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
15359,5604260273317,600.0,PorSi,Néctar de manga,Pack 3 x 200 ml,1.0,1.67,600,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CB03714D6CC31A127821020EE8F1C331.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
15725,5604260273300,600.0,PorSi,Néctar de pera,Pack 3 x 200 ml,0.8,1.33,600,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42A4AC67DF25A44A932E75287105383F.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
21052,8435257034270,640.0,Nestlé,"Iogurte líquido yoggi, sem lactose, morango/banana, embalagem de 4 x 160g",,2.19,3.42,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2F9637E1E7F59896708553BA46B62C91.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
2644,8000500071083,200.0,Kinder,"Chocolate, 16 tabletes, embalagem de 200g",,2.79,13.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9AF44354478DAF42C79BBF89F292CDAD.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
29613,5604260283538,1000.0,PorSi Viva Bem,Bebida de Aveia,1 l,0.99,0.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1EE40BC1DA49C5CE3D084214B1D3D3B9.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
30115,5449000016737,1000.0,Coca-Cola,"Refrigerante sem cafeína, garrafa de 1l",,1.35,1.35,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/23CF5CDA5B630E80CF6F88C3DB4BC0F8.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
30170,5604260274956,200.0,PorSi,Alheira Especial de Trás-Os-Montes,200 g,1.39,6.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/19929337FCFE5B600DFE0ACDB988D2AA.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
35490,5604260285273,1000.0,PorSi Viva Bem,Leite uht sem lactose magro,1 litro,1.05,1.05,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C0D8FEA6733802713556DC723A8C1BA7.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
35913,5603722498022,800.0,Mimosa,"Leite bem essencial morango , embalagem de 4 x 200 ml",,1.69,2.11,800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4B6AB6C5E199D6DAC849805FE4702BB4.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
37603,5601244700005,250.0,Terra Nostra,"Manteiga sem sal terra nostra, embalagem de 250g",,2.19,8.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/825AD5ABA4663129CA24B0F2114DECAD.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
39305,5601195640122,1000.0,Pedras Salgadas,"Pedras maracujá, pack 4 x 25 cl",,1.99,1.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4530A5F4C57E573DC822AE65FB3AE7F0.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
40592,5603722519420,480.0,Mimosa,"Iogurte fruta batida banana, laranja e bolacha, 4 x 120 g",,1.69,3.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3DD4F4ED13036BE4F0A8D47DB404A192.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
47034,8714100827666,160.0,Knorr,"Caldo galinha receita económica, embalagem de 160g",,1.29,8.06,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/54D2297B42302C9BEB14DE9BF8F6F3CF.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
4867,5410041472509,100.0,Tuc,Bolachas cream & onion,Embalagem de 100g,1.04,10.4,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C2295774E4587CC2EFD25EAE1F8DEF19.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
