identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page
20233,8410436275798,50.0,Sonasol,"Bloco sanitário, Blue Active Floral",Embalagem de 50 g,1.98,39.6,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC5810AD157B74D3DE9D316FD35B4F6E.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
40746,5604260303915,3900.0,PorSi,Amaciador Roupa lavanda,Embalagem de 60 doses,3.49,0.89,3900,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1E42F65EC520561AB208E02A4BED7B5F.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
37046,5601217132666,500.0,Cillitbang,"Spray calcário e sujidade, garrafa de 500 ml",,2.49,4.98,500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0B3643C0021BC8837B6653E8203F1AB4.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
40747,5604260303922,3900.0,PorSi,Amaciador Roupa Rosa,Embalagem de 60 doses,3.49,0.89,3900,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A5648EF59AF42CA6EF6509003A304274.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
51538,8006540752333,,Fairy,Detergente Loiça Máquina Platinum Plus Limão,Pack XXL de 48 pastilhas,13.99,13.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8786FC846898F0510EA5C208486C5D8B.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
53344,3665468500973,750.0,Harpic,"Gel Sanitário Anticalcário, 750ml",,1.99,2.65,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/962E310CD2BDB96B6F0D962949C9D00A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DB98AB086C29F9305C325CE18FE2677.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DB98AB086C29F9305C325CE18FE2677.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DB98AB086C29F9305C325CE18FE2677.jpg,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
53758,8435495833833,4050.0,Gama,Detergente Máquina Roupa Líquido Universal,Embalagem de 90 Doses,9.99,2.47,4050,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0BCCDF12CE017C6722C6965D4E03883F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CD6C53630E31CBABE0C055A486FBD5A3.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CD6C53630E31CBABE0C055A486FBD5A3.jpg,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54347,8435495843856,,Gama,"Detergente Roupa Máquina Líquido Jasmim, 100D",,9.99,9.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/59368F24AEB9ACBEBF03B871B10185FE.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54536,8006540521830,,Fairy,"Detergente Máquina Loiça Pastilhas Original Tudo em 1, 21D",,5.98,5.98,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1A348FE6C1FFA1BF08E9B5F7635F30CB.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54538,8006540763582,,Fairy,"Detergente Máquina Loiça Pastilhas Original Tudo em 1 Limão, 71D",,13.99,13.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/937EB01E1BF93392425BD6CC2ABF2650.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54539,8700216236669,,Fairy,"Detergente Máquina Loiça Pastilhas Platinum Plus Tudo em 1 Limão, 19D",,6.69,6.69,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8EF65916B83E06C892876A46E53055E1.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
9612,5604260303908,3900.0,PorSi,Amaciador Roupa Bosque,Embalagem de 60 doses,3.49,0.89,3900,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2BB2C9FB9CC3A34C1DF5A6A8678A6892.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
52341,8006540767849,,Fairy,Detergente Máquina Loiça Pastilhas Ultra,21 Pastilhas,6.69,6.69,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E45C1DEF241964B22BEBD0F0F81CD440.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54352,8015100563067,,Bref,"Bloco Sanitário Poder Activo Pinho, 1un.",,1.98,1.98,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6548556EC6635D4135DFA79429658369.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54353,8410436151061,,Bref,"Bloco Sanitário Poder Activo Limão, 1un.",,1.98,1.98,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7D22586A2923D352F35C0213A1170424.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54354,8015100568642,,Bref,"Bloco Sanitário Poder Activo Lavanda,1un.",,1.98,1.98,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EC2D87A9A71B9E2A72E65BEFB0BA2DFC.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54369,8435495843641,,Gama,"Detergente Máquina Roupa Líquido Colónia, 45D",,3.99,3.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F3A4EAAD45CBAF467F3EC35108575866.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54602,5601217138958,500.0,Cillitbang,"Limpa Vidros Spray, 500ml",,2.49,4.98,500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6B80E9BDF10FB9A2AEFA0D6A49C9C8B5.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54615,8006540767603,,Fairy,"Detergente Loiça Máquina Pastilhas Ultra Original, 35D",,9.99,9.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8FDE50D53E256E3244640E953A9FB60C.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54616,8700216322089,,Fairy,"Detergente Máquina Loiça Pastilhas Platinum Plus Tudo em 1 Limão, 30D",,9.98,9.98,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/094A75AC8A071DA408FC35BE073E31DE.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
6476,8410436242295,1100.0,Sonasol,"Lava Tudo Brilhante Universal, embalagem 1,1l",,2.79,2.54,1100,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D0CE1B4731EB3A85F4B6D327C2738F50.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
